"","condition","observe","expect","z_score","log2FC","upper.p","lower.p"
"intersect","intersect",4791,4275.7467,8.24375229225343,0.164150424742586,8.34462407817535e-17,1
"0_1000","0_1000",6968,6279.6462,9.19602235435058,0.150061345056193,1.85722695457827e-20,1
"0_2000","0_2000",12396,11276.8793,11.7429504726159,0.136506780359981,3.83804699472922e-32,1
"0_3000","0_3000",16768,15421.8436,12.7341136641072,0.120735379848455,1.91080660586644e-37,1
"0_4000","0_4000",20451,18932.6317,13.4339433258383,0.111296424393881,1.91244538272415e-41,1
"0_5000","0_5000",23598,21949.565,14.1309066274186,0.104472243632408,1.22485012619794e-45,1
"0_6000","0_6000",26295,24566.1425,14.5902088069962,0.0981171606095747,1.62101915876428e-48,1
"0_7000","0_7000",28733,26856.441,15.6519629588863,0.0974404995735114,1.61064053855271e-55,1
"0_8000","0_8000",30843,28879.2505,16.3748970470716,0.0949097978062213,1.44498019586602e-60,1
"0_9000","0_9000",32735,30671.9111,17.2913370016465,0.0939159183340411,2.73347131567899e-67,1
"0_10000","0_10000",34281,32269.098,16.9269574666691,0.0872559429131613,1.42360903036145e-64,1
"0_11000","0_11000",35728,33698.3665,17.2244938383489,0.0843764966008015,8.69713459799346e-67,1
"0_12000","0_12000",36977,34985.8648,17.0097325538251,0.0798560280276397,3.47772787047164e-65,1
"0_13000","0_13000",38089,36150.1217,16.7792966870754,0.0753739074093078,1.72954271968463e-63,1
"0_14000","0_14000",39142,37204.0654,16.8965975560284,0.0732571962387333,2.3831380469199e-64,1
"0_15000","0_15000",40039,38160.4846,16.5357707468971,0.0693264501349725,1.01383960678047e-61,1
"0_16000","0_16000",40899,39031.8301,16.6903770947284,0.0674144604743078,7.69975178674482e-63,1
"0_17000","0_17000",41643,39828.2415,16.4406067537757,0.0642822223474493,4.89667574935665e-61,1
"0_18000","0_18000",42349,40559.6078,16.3757027552328,0.0622842012032522,1.42597110823288e-60,1
"0_19000","0_19000",43020,41232.7038,16.4521676816015,0.061218456914713,4.04597766535606e-61,1
"0_20000","0_20000",43632,41854.468,16.5689343915525,0.0600049654486293,5.84393442151724e-62,1
"0_21000","0_21000",44147,42428.7293,16.2368983930669,0.0572739312355296,1.38278990213937e-59,1
"0_22000","0_22000",44689,42960.3323,16.5234714163562,0.0569146094188384,1.24332185875024e-61,1
"0_23000","0_23000",45178,43453.7898,16.6598532398161,0.0561383985599022,1.28326724915747e-62,1
"0_24000","0_24000",45606,43912.9168,16.5487937077806,0.0545782753265737,8.16713938389702e-62,1
